Merek, bibit
Garuda seed, bayam hijau
Mestro,bayam hijau
Bintang asia, bayam hijau
Sumber makmur, bayam hijau
Ta fung, bayam hijau
Santosa, bayam hijau
Jaya tani, bayam hijau
Mestro, bayam merah
Bintang asia, bayam merah
Sumber makmur, bayam merah
Garuda seed, bayam merah
Mestro, kacang panjang
Bintang asia, kacang panjang
Sumber makmur, kacang panjang
Ta fung, kacang panjang
Santosa, kacang panjang
Mestro, seledri
Sumber Makmur, seledri
Ta fung, seledri
Santosa, seledri
Jaya tani, seledri
Garuda seed, kangkung
Mestro, kangkung
Bintang asia, kangkung
Ta fung, kangkung
Jaya tani, kangkung
Santosa, kangkung
Sumber makmur, kangkung
Garuda seed, selada
Mestro, selada
Bintang asia, selada
Sumber makmur, selada
Ta fung, selada
Santosa, selada
Jaya tani, selada
Mestro, selada
Ta fung, sawi manis
Santosa, sawi manis
Jaya tani, sawi manis
Garuda seed, sawi manis
Mestro, sawi manis
Sumber makmur, pakcoy
Ta fung, pakcoy
Santosa, pakcoy
, pakcoy
, pakcoy
Garuda seed, cabai merah
Mestro, cabai merah
Bintang asia, cabai merah
Sumber makmur, cabai merah
Ta fung, cabai merah
Santosa, cabai merah
Bintang asia, brokoli
Sumber makmur, brokoli
Ta fung, brokoli
Santosa, wortel
Jaya tani, wortel
Garuda seed, wortel
Sumber makmur, wortel
Jawara, wortel
Bruno, brokoli
Garuda seed, brokoli
Garuda seed, kentang
Garuda seed, bunga kol
Mestro, bunga kol
Sumber makmur, bunga kol
Jawara, bunga kol
Bruno,bunga kol
Sumber makmur, paprika merah
Jawara, paprika merah
Bruno, paprika merah
Garuda seed, paprika merah
Sumber makmur, sawi putih
Ta fung, sawi putih
Santosa, sawi putih
Jaya tani, sawi putih
Jawara, sawi putih
Permata baru , tomat
Bruno, tomat
Sumber makmur, tomat
Jaya tani, tomat
Santosa, tomat
Garuda seed, kubis
Mestro, kubis
Bintang asia, kubis
Sumber makmur, kubis
Ta fung, kubis
Santosa, kubis
Jaya tani, kubis
Jawara, kubis
Bruno, kubis
Bintang asia, kubis
Permata baru , mentimun
Bruno, mentimun
Sumber makmur, mentimun
Jaya tani, mentimun
Santosa, mentimun
Garuda seed, mentimun
Jawara, sawi pagoda
Bintang asia, sawi pagoda
